ID,Education,Marital_Status,Income,Recency,Wine_Spending,Fruit_Spending,Meat_Spending,Fish_Spending,Sweet_Spending,Gold_Spending,Discount_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visit,Complain,Partner,Monetary,Frequency,Age,Length,Total_Campaign,Cluster_Group,CLV,Churn_Risk,Engagement_Score,Loyalty_Status
8180,Master,Others,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,2,310,12,60-69,776,0,0,1550,Low,21.13861386138614,Regular
2569,Middle,Married,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,46,4,19-29,1177,0,0,230,Low,5.910891089108912,New
2114,Master,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1315,25,60-69,1132,3,1,6575,Low,57.28960396039604,Loyal
9736,Middle,Married,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,2,96,6,30-39,1102,0,0,480,Low,9.400990099009903,Regular
4939,Middle,Others,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,317,11,60-69,1217,0,0,1585,Low,20.027227722772277,Regular
6565,Master,Married,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,1,1782,24,60-69,1008,1,1,8910,Low,65.2871287128713,Loyal
2278,Basic,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,1,133,6,30-39,1153,0,0,665,Low,10.133663366336634,Regular
9360,Middle,Married,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,316,11,30-39,1240,0,0,1580,Low,20.00742574257426,Regular
5376,Middle,Married,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,1,1730,28,30-39,1089,0,1,8650,Low,69.25742574257427,Loyal
1993,Master,Married,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,972,14,60-69,1103,1,1,4860,Low,36.74752475247524,Regular
4047,Master,Married,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,1,544,17,60-69,719,0,2,2720,Low,32.022277227722775,Loyal
1409,Middle,Others,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,1,444,13,60-69,1018,0,0,2220,Low,25.042079207920793,Regular
7892,Middle,Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,75,6,40-49,1093,0,0,375,Low,8.985148514851486,Regular
2404,Middle,Married,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,2,257,10,30-39,948,0,0,1285,Low,17.58910891089109,Regular
5255,Middle,Single,53081.355663142735,19,5,1,3,3,263,362,0,27,0,0,1,0,1,637,27,19-29,1044,0,1,3185,Low,46.363861386138616,Loyal
9422,Middle,Married,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,1,131,7,19-29,944,0,0,655,Low,11.344059405940595,Regular
1966,Master,Married,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1672,25,50-59,769,1,2,8360,Low,64.35891089108911,Loyal
6864,Master,Others,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,30,6,19-29,588,0,0,150,Low,8.094059405940596,Regular
3033,Master,Others,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,318,10,50-59,964,0,0,1590,Low,18.797029702970296,Regular
5710,Middle,Others,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,120,7,40-49,1177,1,0,600,Low,11.126237623762378,Regular
7373,Master,Others,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,2,302,11,60-69,1158,1,0,1510,Low,19.730198019801982,Regular
8755,Master,Married,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,1196,17,60-69,1044,0,1,5980,Low,44.93316831683168,Loyal
10738,Master,Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,2,65,5,60-69,854,0,0,325,Low,7.5371287128712865,Regular
4339,Master,Married,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,1,913,23,40-49,730,0,2,4565,Low,46.82920792079208,Loyal
10755,Basic,Married,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,1,81,6,30-39,850,0,0,405,Low,9.103960396039605,Regular
8595,Middle,Others,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,1,67,5,40-49,688,0,0,335,Low,7.576732673267326,Regular
2968,Master,Others,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,0,902,22,70-79,1063,2,1,4510,Low,45.36138613861386,Loyal
8601,Middle,Married,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,1,1395,19,30-39,976,0,1,6975,Low,51.37376237623763,Loyal
503,Master,Married,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,1,53,5,30-39,1024,0,0,265,Low,7.299504950495049,Regular
8430,Middle,Others,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,1,22,3,50-59,1102,0,0,110,Low,4.185643564356437,New
7281,Master,Single,40510.40890405376,80,81,11,50,3,2,39,1,1,3,4,2,0,0,186,8,50-59,786,0,0,930,Low,13.683168316831685,Regular
2139,Master,Married,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,1,31,5,40-49,820,0,0,155,Low,6.863861386138614,Regular
1371,Middle,Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,984,15,30-39,551,0,2,4920,Low,38.23514851485149,Regular
9909,Basic,Married,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,122,7,19-29,1147,1,0,610,Low,11.165841584158418,Regular
7286,Middle,Others,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,1,55,4,40-49,951,0,0,275,High,6.089108910891089,New
7244,Middle,Single,38782.25214338077,96,48,5,48,6,10,7,3,2,1,4,6,0,3,124,7,60-69,729,0,0,620,Low,11.205445544554458,Regular
6566,Master,Married,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,2,1319,19,60-69,1148,0,1,6595,Low,49.86881188118812,Loyal
8614,Middle,Others,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,1,507,16,50-59,598,0,2,2535,Low,30.039603960396043,Loyal
4114,Master,Married,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,1693,28,50-59,1237,0,1,8465,Low,68.52475247524752,Loyal
1331,Middle,Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,1,72,5,30-39,1093,0,0,360,Low,7.675742574257425,Regular
2225,Middle,Others,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,0,1617,20,30-39,572,3,2,8085,Low,57.019801980198025,Loyal
9381,Middle,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,2,606,16,30-39,932,0,1,3030,Low,32.0,Loyal
6260,Master,Others,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1957,26,60-69,1137,2,1,9785,Low,71.25247524752476,Loyal
10383,Middle,Others,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,1093,20,40-49,1003,1,1,5465,Low,46.64356435643564,Loyal
7437,Middle,Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,1,29,5,19-29,612,0,0,145,Low,6.824257425742575,Regular
8557,Middle,Single,36608.119444469594,57,11,3,22,2,2,6,2,2,0,3,6,0,1,46,5,30-39,927,0,0,230,Low,7.16089108910891,Regular
8375,Master,Married,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,1,518,16,40-49,668,0,2,2590,Low,30.257425742574256,Loyal
6853,Master,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,0,1438,20,30-39,910,3,2,7190,Low,53.475247524752476,Loyal
3076,Middle,Others,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,2,612,18,40-49,1210,0,1,3060,Low,34.618811881188115,Loyal
1012,Middle,Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,1,884,20,60-69,1046,0,1,4420,Low,42.504950495049506,Loyal
6518,Master,Others,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,1,606,18,60-69,933,0,0,3030,Low,34.5,Loyal
4137,Middle,Others,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,1076,15,60-69,755,0,2,5380,Low,40.056930693069305,Regular
8082,Middle,Married,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,34,4,40-49,954,1,0,170,Low,5.673267326732674,New
1386,Middle,Others,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,2,11,3,40-49,599,0,0,55,Low,3.9678217821782185,New
9369,Basic,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,1,1274,31,30-39,652,3,2,6370,Low,63.977722772277225,Loyal
4477,Middle,Others,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,1,653,17,50-59,825,0,2,3265,Low,34.18069306930693,Loyal
1357,Middle,Others,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,3,1562,12,40-49,997,0,1,7810,Low,45.93069306930693,Regular
1402,Master,Married,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,1253,18,60-69,1206,0,1,6265,Low,47.31188118811881,Loyal
10629,Basic,Married,38364.14970128246,25,25,3,43,17,4,17,3,3,0,3,8,0,1,109,6,40-49,1203,0,0,545,Low,9.658415841584159,Regular
6312,Middle,Married,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,1,863,26,50-59,1019,0,1,4315,Low,49.58910891089109,Loyal
8132,Master,Married,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,2,661,19,40-49,1000,1,1,3305,Low,36.83910891089109,Loyal
1050,Middle,Married,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,65,7,60-69,610,0,0,325,Low,10.037128712871288,Regular
5846,Middle,Others,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,1,13,3,30-39,1107,0,0,65,Low,4.0074257425742585,New
1859,Master,Married,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,1890,18,40-49,1221,1,1,9450,Low,59.92574257425743,Loyal
7503,Middle,Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,2209,22,30-39,1175,2,1,11045,Low,71.24257425742574,Loyal
10401,Basic,Others,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,18,3,30-39,848,0,0,90,Low,-5.893564356435643,New
1618,Middle,Others,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,0,692,19,50-59,1093,2,1,3460,Low,37.45297029702971,Loyal
3332,Middle,Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,1,165,8,30-39,1219,0,0,825,Low,13.267326732673268,Regular
2261,Middle,Married,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,1,16,3,40-49,921,0,0,80,Low,4.066831683168318,New
5346,Basic,Married,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,1,79,6,40-49,911,0,0,395,Low,9.064356435643566,Regular
4119,Master,Others,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,318,10,50-59,964,0,0,1590,Low,18.797029702970296,Regular
535,Middle,Others,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,778,26,19-29,674,0,2,3890,Low,47.9059405940594,Loyal
5268,Middle,Married,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,2,56,5,50-59,872,0,0,280,Low,7.358910891089108,Regular
273,Master,Married,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,2,151,8,40-49,898,1,0,755,Low,12.990099009900991,Regular
4452,Middle,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,372,13,50-59,582,3,0,1860,Low,23.616336633663366,Regular
8504,Middle,Married,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1366,18,40-49,598,1,2,6830,Low,49.54950495049505,Loyal
771,Middle,Others,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,1,194,9,40-49,709,0,0,970,Low,15.091584158415841,Regular
8996,Master,Married,52133.65679438658,4,230,42,192,49,37,53,12,7,2,8,9,0,3,603,17,50-59,1137,0,1,3015,Low,33.19059405940594,Loyal
9235,Middle,Single,35827.66155255276,45,7,0,8,2,0,1,1,1,0,2,7,0,2,18,3,50-59,583,0,0,90,Low,4.106435643564358,New
5798,Master,Others,62781.33231982337,87,445,37,359,98,28,18,1,2,4,8,1,0,0,985,14,40-49,768,0,2,4925,Low,37.004950495049506,Regular
11178,Master,Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,1,32,4,40-49,648,0,0,160,Low,5.633663366336634,New
2230,Master,Married,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,1,43,7,40-49,586,0,0,215,Low,9.601485148514852,Regular
7516,Middle,Married,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,1,45,5,30-39,588,0,0,225,Low,7.14108910891089,Regular
7247,Middle,Others,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,606,17,50-59,1134,1,1,3030,Low,33.25,Loyal
11100,Middle,Others,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,2,63,5,40-49,994,0,0,315,Low,7.497524752475247,Regular
4646,Basic,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,978,24,60-69,760,1,2,4890,Low,49.36633663366337,Loyal
3037,Master,Married,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,410,14,30-39,924,0,0,2050,Low,25.61881188118812,Regular
1473,Basic,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,1,72,5,50-59,891,0,0,360,Low,7.675742574257425,Regular
1016,Master,Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,1,55,5,50-59,641,0,0,275,Low,7.339108910891088,Regular
4518,Middle,Others,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,1,1169,25,30-39,985,0,1,5845,Low,54.398514851485146,Loyal
9370,Master,Married,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,1120,15,70-79,958,0,1,5600,Low,40.92821782178218,Regular
8908,Middle,Married,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,1097,19,50-59,602,1,2,5485,Low,45.472772277227726,Loyal
8373,Basic,Others,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,1,29,4,30-39,751,0,0,145,High,5.574257425742575,New
7533,Middle,Married,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,2,187,9,50-59,828,0,0,935,Low,14.952970297029703,Regular
2683,Middle,Married,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,2,910,22,40-49,1062,0,1,4550,Low,45.51980198019802,Loyal
3629,Middle,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,1,145,7,30-39,1107,0,0,725,Low,11.621287128712872,Regular
10991,Master,Married,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,850,13,50-59,1119,0,1,4250,Low,33.081683168316836,Regular
5077,Middle,Others,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,1,969,23,30-39,789,0,2,4845,Low,47.93811881188119,Loyal
7431,Master,Single,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,0,1820,16,19-29,1146,2,1,9100,Low,56.03960396039604,Loyal
3267,Master,Others,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,608,17,50-59,554,1,2,3040,Low,33.28960396039604,Loyal
999,Middle,Single,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,0,730,24,19-29,1093,3,1,3650,Low,44.455445544554465,Loyal
9215,Master,Married,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,1,551,16,30-39,1114,0,1,2755,Low,30.91089108910891,Loyal
2286,Middle,Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,2,114,6,50-59,842,0,0,570,Low,9.757425742574258,Regular
1592,Middle,Married,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1724,15,40-49,706,2,2,8620,Low,52.88861386138615,Regular
367,Basic,Married,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,1,577,15,30-39,1045,0,1,2885,Low,30.175742574257423,Regular
5234,Basic,Others,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,2,81,5,40-49,903,0,0,405,Low,7.853960396039604,Regular
9862,Middle,Others,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,1,33,5,40-49,777,0,0,165,Low,6.903465346534654,Regular
9805,Master,Others,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,1,660,18,60-69,924,0,1,3300,Low,35.56930693069307,Loyal
6205,Master,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,80,6,40-49,675,1,0,400,Low,9.084158415841586,Regular
8442,Master,Married,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,2,30,4,30-39,848,0,0,150,Low,5.594059405940595,New
7386,Middle,Others,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,1,43,4,30-39,983,0,0,215,Low,5.851485148514852,New
7215,Middle,Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,0,1135,27,30-39,1024,4,1,5675,Low,56.225247524752476,Loyal
1491,Basic,Others,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,559,14,50-59,1046,0,0,2795,Low,28.569306930693074,Regular
11071,Middle,Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,1923,15,30-39,984,1,1,9615,Low,56.82920792079208,Regular
3381,Master,Married,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,2,90,6,60-69,571,0,0,450,Low,9.282178217821784,Regular
8268,Master,Married,46586.8310625491,23,352,0,27,10,0,15,3,6,1,7,6,0,1,404,14,50-59,903,0,0,2020,Low,25.5,Regular
11051,Master,Others,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,2,661,19,50-59,600,0,2,3305,Low,36.83910891089109,Loyal
8026,Middle,Married,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,1,463,14,60-69,822,0,0,2315,Low,26.66831683168317,Regular
433,Master,Others,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,2,632,18,50-59,1026,0,1,3160,Low,35.01485148514851,Loyal
9597,Middle,Married,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,725,18,40-49,689,0,2,3625,Low,36.85643564356435,Loyal
1295,Middle,Married,55534.22332345278,96,231,65,196,38,71,124,1,6,5,7,4,0,1,725,18,50-59,872,0,0,3625,Low,36.85643564356435,Loyal
5290,Master,Married,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,2,279,11,50-59,869,0,0,1395,Low,19.274752475247524,Regular
1685,Master,Others,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,1482,22,40-49,1019,1,1,7410,Low,56.84653465346534,Loyal
5342,Basic,Others,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,1,29,4,30-39,1240,0,0,145,Low,5.574257425742575,New
9579,Master,Married,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,3,106,6,50-59,907,0,0,530,Low,9.5990099009901,Regular
7660,Master,Others,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,2,49,4,40-49,591,2,0,245,Low,5.970297029702971,New
1461,Master,Others,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,2,38,5,50-59,886,0,0,190,Low,7.002475247524753,Regular
821,Master,Single,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,2077,21,19-29,1168,0,1,10385,Low,67.37871287128712,Loyal
11084,Master,Others,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,1,1053,15,30-39,777,1,2,5265,Low,39.60148514851485,Regular
8690,Middle,Married,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,1385,22,50-59,986,0,1,6925,Low,54.92574257425743,Loyal
2937,Master,Single,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,1,871,22,40-49,855,0,2,4355,Low,44.74752475247525,Loyal
9701,Middle,Others,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,1,312,9,19-29,1017,0,0,1560,Low,17.428217821782177,Regular
9949,Middle,Married,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,2,877,12,30-39,1169,0,1,4385,Low,32.366336633663366,Regular
10837,Middle,Married,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,68,5,40-49,1159,1,0,340,Low,7.596534653465346,Regular
3120,Middle,Others,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,1,22,3,30-39,855,0,0,110,Low,-5.814356435643564,New
5885,Basic,Married,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,3,211,9,40-49,1226,0,0,1055,Low,15.428217821782178,Regular
4050,Master,Married,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,127,7,40-49,558,0,0,635,Low,11.264851485148517,Regular
3830,Master,Married,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,2,459,15,60-69,616,0,2,2295,Low,27.839108910891085,Regular
7987,Middle,Married,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,460,15,40-49,664,1,0,2300,Low,27.858910891089106,Regular
7798,Basic,Others,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,1,429,13,40-49,1112,0,0,2145,Low,24.745049504950494,Regular
92,Middle,Others,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,1,89,7,19-29,598,0,0,445,Low,10.512376237623764,Regular
7055,Master,Others,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,1,1021,24,60-69,1178,0,1,5105,Low,50.21782178217822,Loyal
10240,Middle,Others,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,0,1381,20,60-69,1045,3,1,6905,Low,52.34653465346535,Loyal
3025,Middle,Single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,1,306,12,50-59,906,0,0,1530,Low,21.05940594059406,Regular
9283,Middle,Single,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,3,18,3,30-39,840,0,0,90,Low,4.106435643564358,New
9970,Middle,Others,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,1,162,8,30-39,805,0,0,810,Low,13.207920792079209,Regular
2730,Middle,Single,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,1231,17,60-69,863,0,2,6155,Low,45.62623762376238,Loyal
2795,Master,Single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,3,13,3,50-59,913,0,0,65,Low,4.0074257425742585,New
9260,Master,Married,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,1706,25,70-79,1151,0,1,8530,Low,65.0321782178218,Loyal
8182,Middle,Married,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,1,121,7,30-39,725,0,0,605,Low,11.146039603960398,Regular
10095,Master,Others,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,1293,19,40-49,974,0,1,6465,Low,49.35396039603961,Loyal
8475,Master,Married,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,1,1608,22,40-49,670,0,2,8040,Low,59.34158415841584,Loyal
4370,Middle,Others,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,3,88,6,40-49,778,0,0,440,Low,9.242574257425744,Regular
10573,Middle,Others,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,421,17,60-69,773,1,2,2105,Low,29.586633663366342,Loyal
3712,Middle,Others,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,259,11,50-59,855,1,0,1295,Low,18.878712871287128,Regular
6637,Middle,Single,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,1117,14,19-29,789,0,2,5585,Low,39.61881188118812,Regular
3152,Middle,Others,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,2,89,6,50-59,674,0,0,445,Low,9.262376237623764,Regular
5610,Middle,Others,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,2,36,4,50-59,619,0,0,180,Low,5.7128712871287135,New
6460,Middle,Married,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,1,57,5,30-39,901,0,0,285,Low,7.378712871287128,Regular
1349,Middle,Married,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,2,148,7,40-49,619,0,0,740,Low,11.680693069306932,Regular
1880,Master,Others,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,2,93,6,50-59,700,0,0,465,Low,9.341584158415843,Regular
641,Middle,Single,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,1,119,6,40-49,636,1,0,595,Low,9.856435643564357,Regular
8717,Master,Married,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,1,1835,27,40-49,1205,0,1,9175,Low,70.08663366336634,Loyal
10314,Master,Married,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,0,1318,24,60-69,1110,3,1,6590,Low,56.099009900990104,Loyal
10854,Master,Married,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,2,45,5,40-49,587,0,0,225,Low,7.14108910891089,Regular
10492,Middle,Others,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,3,10,3,50-59,555,0,0,50,High,3.9480198019801986,New
6935,Basic,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,978,24,60-69,760,1,2,4890,Low,49.36633663366337,Loyal
7698,Master,Married,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,1,191,9,30-39,599,0,0,955,Low,15.032178217821782,Regular
